MAGNITUD;NOMBRE_MAGNITUD
1;DióxidodeAzufre
6;MonóxidodeCarbono
7;MonóxidodeNitrógeno
8;DióxidodeNitrógeno
9;Partículas<2.5
10;Partículas<10
12;ÓxidosdeNitrógeno
14;Ozono
20;Tolueno
30;Benceno
35;Etilbenceno
37;Metaxileno
38;Paraxileno
39;Ortoxileno
42;Hidrocarburostotales  
43;Metano
