PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;28079004_1_38;2021;4;26;12;V;11;V;11;V;12;V;12;V;10;V;12;V;13;V;15;V;13;V;12;V;13;V;11;V;11;V;10;V;12;V;11;V;11;V;10;V;8;V;8;V;9;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;27;10;V;10;V;11;V;12;V;13;V;13;V;14;V;14;V;15;V;16;V;15;V;15;V;12;V;11;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V
28;79;4;1;28079004_1_38;2021;4;28;12;V;11;V;12;V;13;V;13;V;13;V;13;V;15;V;17;V;17;V;15;V;12;V;12;V;11;V;11;V;11;V;10;V;10;V;9;V;8;V;9;V;10;V;10;V;11;V
28;79;4;1;28079004_1_38;2021;4;29;11;V;11;V;12;V;11;V;11;V;11;V;12;V;11;V;13;V;11;V;12;V;12;V;12;V;11;V;10;V;10;V;10;V;10;V;9;V;8;V;9;V;10;V;10;V;12;V
28;79;4;1;28079004_1_38;2021;4;30;12;V;11;V;12;V;12;V;11;V;11;V;11;V;10;V;11;V;11;V;12;V;12;V;12;V;10;V;10;V;10;V;10;V;9;V;9;V;9;V;10;V;12;V;11;V;12;V
28;79;4;6;28079004_6_48;2021;4;1;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;2;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;3;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.4;V;000.9;V;000.9;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.5;V
28;79;4;6;28079004_6_48;2021;4;4;000.5;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.5;V;000.5;V
28;79;4;6;28079004_6_48;2021;4;5;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;001.7;N;000.7;N;000.7;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.6;V
28;79;4;6;28079004_6_48;2021;4;6;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;001.2;N;001.0;N;001.2;N;001.1;N;000.6;N;000.5;V;000.4;V;000.2;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;7;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;8;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;N;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;9;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;10;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;11;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;12;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.4;V;000.5;V
28;79;4;6;28079004_6_48;2021;4;13;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.6;V;000.6;V;000.6;V;000.3;V;000.6;N;0;N;0;N;0;N;000.9;N;000.6;V;000.8;V;000.3;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;14;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.5;V;000.6;V;000.4;V;000.4;V;000.4;V;000.4;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;15;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.5;V;000.3;V;000.6;V;000.6;V;001.1;V;000.2;V;000.4;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;16;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;17;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.4;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;18;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;19;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.6;V;000.8;V;000.7;V;000.5;V;000.5;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;N;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;20;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.6;V;000.6;V;001.6;N;002.6;N;001.0;N;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;21;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;22;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.5;V;000.4;V;000.6;V;000.4;V;000.3;V;000.2;V;000.3;V;000.4;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;23;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.5;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;24;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;V;000.4;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;25;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;79;4;6;28079004_6_48;2021;4;26;000.2;V;000.3;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.3;V;000.7;V;000.5;V;000.4;V;000.5;V;000.3;V;000.2;V;000.2;V;000.2;V;000.5;V;000.6;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;27;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.3;V;000.5;V;000.5;V;000.5;V;000.5;V;000.6;V;000.4;V;000.4;V;000.2;V;000.5;V;000.2;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;28;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.8;V;000.6;V;000.5;V;000.4;V;000.4;V;000.6;V;000.2;V;000.5;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;29;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;6;28079004_6_48;2021;4;30;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.5;V;000.7;V;000.3;V;000.2;V;000.5;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;4;7;28079004_7_8;2021;4;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;2;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;2;V;1;V;2;V;3;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;3;1;V;3;V;5;V;4;V;2;V;3;V;2;V;9;V;18;V;25;V;11;V;13;V;15;V;5;V;3;V;2;V;1;V;1;V;2;V;3;V;1;V;1;V;3;V;22;V
28;79;4;7;28079004_7_8;2021;4;4;20;V;14;V;1;V;1;V;1;V;1;V;1;V;11;V;4;V;1;V;2;V;2;V;2;V;3;V;3;V;3;V;2;V;2;V;2;V;1;V;1;V;1;V;10;V;21;V
28;79;4;7;28079004_7_8;2021;4;5;1;V;1;V;1;V;1;V;1;V;1;V;3;V;24;V;115;V;71;V;64;V;31;V;12;V;12;V;5;V;8;V;29;V;4;V;8;V;1;V;1;V;1;V;1;V;9;V
28;79;4;7;28079004_7_8;2021;4;6;19;V;4;V;1;V;2;V;1;V;1;V;5;V;37;V;168;N;135;N;146;N;109;N;43;V;24;V;4;V;16;V;14;V;27;V;16;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;7;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;12;V;15;V;7;V;12;V;11;V;12;V;4;V;13;V;20;V;24;V;15;V;1;V;1;V;2;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;8;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;10;V;14;V;7;N;15;V;13;V;14;V;6;V;16;V;19;V;11;V;6;V;3;V;1;V;1;V;1;V;2;V
28;79;4;7;28079004_7_8;2021;4;9;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;14;V;17;V;13;V;12;V;8;V;7;V;3;V;6;V;6;V;3;V;5;V;3;V;2;V;2;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;10;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;4;V;6;V;5;V;5;V;5;V;3;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;79;4;7;28079004_7_8;2021;4;11;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;12;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;9;V;12;V;6;V;11;V;6;V;71;N;4;V;12;V;18;V;17;V;4;V;1;V;1;V;1;V;1;V;17;V
28;79;4;7;28079004_7_8;2021;4;13;3;V;1;V;1;V;3;V;1;V;1;V;2;V;40;N;178;N;143;N;24;N;52;N;0;N;0;N;0;N;1828;N;20;N;79;N;8;N;2;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;14;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;31;V;37;V;24;V;21;V;17;N;46;N;3;V;12;V;21;V;14;V;6;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;24;V;42;V;18;V;50;N;77;N;28;N;4;V;30;V;20;V;16;V;8;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;16;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;19;V;23;V;19;V;15;V;20;V;14;V;12;V;19;V;19;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;17;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;8;V;6;V;4;V;5;V;10;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;18;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;19;1;V;2;V;1;V;1;V;1;V;1;V;3;V;43;N;124;N;129;N;87;N;46;N;26;N;21;N;4;V;6;V;12;V;9;V;8;N;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;20;1;V;1;V;1;V;1;V;2;V;2;V;3;V;77;N;162;N;90;N;69;N;71;N;16;V;25;V;4;V;21;V;17;V;22;V;14;V;2;V;1;V;1;V;1;V;1;V
